City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Zhenlai,CN,45.8495,123.2973,76.12,62,50,3.58,scattered clouds
283,Magadan,RU,59.5667,150.8,52.65,94,100,3.31,light rain
284,Kendari,ID,-3.945,122.4989,73.96,94,36,0.76,scattered clouds
285,Kruisfontein,ZA,-34.0033,24.7314,57.54,33,0,8.1,clear sky
286,Oranjemund,NA,-28.55,16.4333,66.87,36,7,3.67,clear sky
287,Hervey Bay,AU,-25.2986,152.8535,63.01,97,100,8.99,overcast clouds
288,Bagdarin,RU,54.4333,113.6,65.66,71,5,2.28,clear sky
289,Orlik,RU,52.5178,99.825,56.86,61,18,2.73,few clouds
290,Husavik,IS,66.0449,-17.3389,50.16,90,83,5.41,broken clouds
291,Lompoc,US,34.6391,-120.4579,87.78,71,0,17.27,clear sky
292,Svetlyy,RU,54.675,20.1347,68.05,96,95,12.03,light rain
293,Prince Rupert,CA,54.3161,-130.3201,59.09,83,100,8.05,overcast clouds
294,Mbini,GQ,1.574,9.6134,75.38,86,99,6.8,overcast clouds
295,Rosignano Marittimo,IT,43.4079,10.4729,74.48,75,0,1.5,clear sky
296,Tura,IN,25.5198,90.2201,72.57,96,34,5.57,scattered clouds
297,Hvide Sande,DK,56.0045,8.1294,65.08,85,6,10.0,clear sky
298,Boa Vista,BR,2.8197,-60.6733,89.58,51,40,2.3,scattered clouds
299,Tual,ID,-5.6667,132.75,81.25,78,70,8.12,light rain
300,Aguimes,ES,27.9054,-15.4461,68.67,62,40,25.01,scattered clouds
301,Ouadda,CF,8.0777,22.4007,66.96,96,91,0.89,light rain
302,Kirakira,SB,-10.4544,161.9205,82.67,77,59,16.37,light rain
303,Mbandaka,CD,0.0487,18.2603,73.87,74,67,1.54,broken clouds
304,San Juan Nepomuceno,CO,9.9516,-75.082,83.59,77,27,2.89,light rain
305,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,72.19,46,0,15.66,clear sky
306,Ponta Do Sol,PT,32.6667,-17.1,68.0,70,24,6.85,few clouds
307,Matelandia,BR,-25.2408,-53.9964,56.5,93,0,2.75,clear sky
308,Njombe,TZ,-9.3333,34.7667,49.62,96,85,6.06,overcast clouds
309,Butembo,CD,0.15,29.2833,57.88,82,27,2.62,scattered clouds
310,Agira,IT,37.6562,14.5216,77.92,57,6,3.74,clear sky
311,Rafaela,AR,-31.2503,-61.4867,57.0,41,2,7.2,clear sky
312,Marsa Matruh,EG,31.3525,27.2453,77.2,78,0,9.22,clear sky
313,Slave Lake,CA,55.2834,-114.769,67.98,73,0,4.61,clear sky
314,Alekseyevsk,RU,57.8406,108.3492,61.65,94,0,0.69,clear sky
315,Matamoros,MX,25.5333,-103.25,92.43,24,13,9.62,few clouds
316,Romanovo,RU,52.6182,81.2271,50.02,72,0,6.22,clear sky
317,Saqqez,IR,36.2499,46.2735,66.6,37,0,1.88,clear sky
318,Kuusamo,FI,65.9667,29.1833,66.24,88,0,1.14,clear sky
319,Nokaneng,BW,-19.6667,22.2667,59.9,48,89,4.88,overcast clouds
320,Marolambo,MG,-20.05,48.1167,58.57,95,75,2.35,broken clouds
321,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,56,75,1.14,broken clouds
322,Akureyri,IS,65.6835,-18.0878,51.73,87,75,10.36,broken clouds
323,Leh,IN,34.1667,77.5833,65.97,29,100,6.51,overcast clouds
324,Isangel,VU,-19.55,169.2667,73.51,88,75,4.61,broken clouds
325,Uchiza,PE,-8.4592,-76.4633,80.83,62,5,0.63,clear sky
326,Inhambane,MZ,-23.865,35.3833,65.98,71,99,9.82,overcast clouds
327,Aurillac,FR,44.9167,2.45,50.88,98,100,4.61,overcast clouds
328,Cap Malheureux,MU,-19.9842,57.6142,65.46,81,63,1.99,light rain
329,Stornoway,GB,58.2093,-6.3865,54.93,92,75,10.36,broken clouds
330,Hirara,JP,24.8,125.2833,77.27,88,40,9.22,scattered clouds
331,Kaitangata,NZ,-46.2817,169.8464,42.42,78,82,15.84,light rain
332,Eyl,SO,7.9803,49.8164,80.06,58,98,26.6,overcast clouds
333,Ola,RU,59.5833,151.2833,50.9,97,100,2.82,light rain
334,Sergeyevka,KZ,53.88,67.4158,54.55,71,95,5.23,overcast clouds
335,Mackay,AU,-21.15,149.2,67.68,95,100,10.63,moderate rain
336,Maceio,BR,-9.6658,-35.7353,76.44,83,75,8.05,broken clouds
337,Anito,PH,12.4497,125.2886,77.81,91,100,8.41,overcast clouds
338,Caravelas,BR,-17.7125,-39.2481,71.02,88,3,5.3,clear sky
339,Killybegs,IE,54.6333,-8.45,53.02,92,91,7.07,overcast clouds
340,Hami,CN,42.8,93.45,84.24,13,0,7.9,clear sky
341,Cravinhos,BR,-21.3403,-47.7294,74.12,47,0,3.2,clear sky
342,Namibe,AO,-15.1961,12.1522,67.21,91,25,4.85,scattered clouds
343,Seoul,KR,37.5683,126.9778,74.77,97,75,4.61,broken clouds
344,Matagami,CA,49.7502,-77.6328,53.71,94,100,23.02,moderate rain
345,Talgar,KZ,43.3027,77.2395,73.56,41,75,4.47,light rain
